num_of_flights,code,carrier,cities,cancellationcodes
7939,9E,Pinnacle Airlines Inc.,"Des Moines, Minneapolis, Shreveport, Cleveland, Duluth, Appleton, Rochester, Asheville, Traverse City, Harrisburg, Dayton, NA, Pittsburgh, Allentown, Austin, Detroit, Bangor, Binghamton, Indianapolis, Windsor Locks, Arlington, Oklahoma City, Portland, Columbia, Burlington, Lexington, Tulsa, Hancock, Sioux City, Jackson, Helena, New York, Idaho Falls, Green Bay, Boston, Kansas City, Philadelphia, Chantilly, Lincoln, Moline, Little Rock, Madison, Norfolk, Richmond, Memphis, Montgomery, Fort Smith, Louisville, Tallahassee, Birmingham, Raleigh, Evansville, Charleston, Dallas-Fort Worth, Pensacola, Denver, White Plains, Akron, Kalamazoo, Elmira, South Bend, Springfield, Huntsville, St Louis, Greensboro, Mobile, Newburgh, Covington, Pellston, Bismarck, Rhinelander, Fayetteville/Springdale/Rogers, Knoxville, Wilkes-Barre/Scranton, Greer, Chattanooga, Cedar Rapids, Mosinee, Waterloo, Omaha, Wichita, Houston, Grand Rapids, Fort Wayne, Flint, Roanoke, Jacksonville, Columbus, Casper, Fargo, International Falls, Saginaw, Peoria, Kalispell, Ft. Lauderdale, La Crosse, Bemidji, Grand Forks, Albany, Nashville, Panama City, Manchester, Baltimore, Erie, Lansing, Rapid City, Gulfport-Biloxi, Baton Rouge, Myrtle Beach, Sioux Falls, Savannah, Great Falls, Ft. Myers, Charlotte, Eau Claire, Salt Lake City, Bozeman, Buffalo","A, B, C, D"
7814,NW,Northwest Airlines Inc.,"New York, Minneapolis, Chicago, Seattle, Nashville, San Jose, Memphis, Detroit, Traverse City, Kansas City, Arlington, Grand Rapids, Boston, Las Vegas, Philadelphia, Gulfport-Biloxi, Dallas-Fort Worth, Orlando, Atlanta, Tampa, Fargo, Indianapolis, Newark, Columbus, Los Angeles, Rochester, Grand Forks, Omaha, Madison, Baton Rouge, Houston, Denver, Lansing, Portland, New Orleans, Saginaw, Baltimore, Duluth, Birmingham, Milwaukee, Bismarck, Syracuse, Chantilly, Valparaiso, Norfolk, St Louis, Louisville, Charlotte, Jacksonville, Raleigh, Kalamazoo, Flint, Green Bay, Sioux Falls, Cleveland, Pittsburgh, Richmond, Harrisburg, Phoenix, Minot, Santa Ana, San Diego, San Francisco, Ft. Lauderdale, Little Rock, Buffalo, Sacramento, Des Moines, Rapid City, Spokane, Providence, Albuquerque, Manchester, Salt Lake City, La Crosse, Tucson, West Palm Beach, Miami, San Antonio, Billings, Windsor Locks, Bozeman, Missoula, Albany, Austin, Cedar Rapids, Honolulu, Kailua/Kona, Kahului, Great Falls, Kalispell, Eagle, Oklahoma City, Greer, Colorado Springs, Hayden, Savannah, Ft. Myers, Myrtle Beach, Sarasota, Anchorage, Boise","C, A, B"
6521,DL,Delta Air Lines Inc.,"Greensboro, Atlanta, New York, Baltimore, Windsor Locks, Pensacola, Houston, Daytona Beach, Newark, West Palm Beach, Oakland, Jackson, New Orleans, Covington, Denver, Buffalo, Salt Lake City, Philadelphia, Norfolk, Pittsburgh, Boston, Ft. Myers, Raleigh, Melbourne, Miami, Chantilly, Chicago, Minneapolis, St Louis, San Jose, Birmingham, Orlando, Greer, Memphis, Arlington, San Antonio, Savannah, Wichita, Nashville, Little Rock, Mobile, Rochester, Kansas City, Detroit, Huntsville, Sarasota, Columbus, Jacksonville, Newport News, Oklahoma City, Santa Ana, Lexington, Richmond, Charleston, Tallahassee, Tampa, El Paso, San Juan, Los Angeles, Dallas-Fort Worth, Ft. Lauderdale, Syracuse, Phoenix, Albuquerque, Seattle, Las Vegas, San Francisco, San Diego, Charlotte Amalie, Sacramento, Cleveland, Indianapolis, Dayton, Portland, Hayden, Providence, Montrose, Louisville, Columbia, Milwaukee, Charlotte, Austin, Reno, Knoxville, Ontario, Kahului, Spokane, Boise, Honolulu, Gulfport-Biloxi, Valparaiso, Bozeman, Colorado Springs, Eagle, Christiansted, Anchorage","B, A, C"
3710,B6,JetBlue Airways,"Buffalo, Charlotte, Chantilly, New York, Austin, Raleigh, Ft. Myers, Columbus, Burbank, Pittsburgh, Syracuse, Richmond, Rochester, Boston, Ft. Lauderdale, West Palm Beach, Tampa, Orlando, San Juan, Houston, Jacksonville, Long Beach, Chicago, Aguadilla, Denver, Nashville, Burlington, Las Vegas, New Orleans, Oakland, Phoenix, Portland, San Diego, Seattle, Sarasota, Tucson, Ponce, Sacramento, White Plains, Newark, San Francisco, San Jose, Newburgh, Ontario, Nantucket, Salt Lake City","A, B, C"
2951,CO,Continental Air Lines Inc.,"Arlington, Atlanta, Newark, Houston, Philadelphia, New York, Chicago, Cleveland, Providence, Dallas-Fort Worth, New Orleans, Boston, Phoenix, San Antonio, Ft. Lauderdale, Denver, West Palm Beach, Austin, Las Vegas, Ft. Myers, Los Angeles, McAllen, Miami, Omaha, Chantilly, Santa Ana, Kansas City, Columbus, Tampa, Daytona Beach, El Paso, Baltimore, Oakland, Anchorage, Raleigh, Orlando, Seattle, San Diego, Detroit, Minneapolis, San Juan, Baton Rouge, Albuquerque, Tucson, Birmingham, Indianapolis, Salt Lake City, Portland, Honolulu, San Francisco, Buffalo, Sarasota, Jacksonville, Ponce, Eagle, Charlotte Amalie, Hayden, Myrtle Beach, San Jose, Montrose, Aguadilla, Tulsa, Oklahoma City, Pittsburgh, Windsor Locks, Reno","B, A, C"
2602,FL,AirTran Airways Corporation,"Atlanta, Charlotte, Newark, Chantilly, Kansas City, Orlando, Memphis, Raleigh, Richmond, Tampa, Savannah, St Louis, Akron, Chicago, Boston, Baltimore, Ft. Lauderdale, New York, Newport News, Philadelphia, Portland, Charleston, White Plains, Jacksonville, Pittsburgh, San Francisco, Sarasota, Minneapolis, Indianapolis, Bloomington, Houston, New Orleans, Moline, Dayton, Dallas-Fort Worth, Detroit, Miami, Arlington, West Palm Beach, Pensacola, Milwaukee, San Diego, Denver, Wichita, Ft. Myers, Newburgh, Flint, Gulfport-Biloxi, Rochester, Daytona Beach, Las Vegas, Buffalo, Seattle, Phoenix","A, C, B"
2563,AS,Alaska Airlines Inc.,"Los Angeles, Santa Ana, San Jose, Seattle, Las Vegas, Portland, Anchorage, Fairbanks, Denver, Juneau, Ketchikan, San Francisco, Oakland, Kotzebue, Nome, Bethel, Sacramento, Orlando, Phoenix, San Diego, Palm Springs, Reno, Barrow, Long Beach, Spokane, Kodiak, Deadhorse, Burbank, Ontario, Dallas-Fort Worth, Adak, Yakutat, Wrangell, Petersburg, Gustavus, Sitka, Cordova, Boston, Chicago, Boise, Lihue, Dillingham, Tucson, Arlington, King Salmon, Miami, Newark","A, C, B"
398,F9,Frontier Airlines Inc.,"Dallas-Fort Worth, Denver, Kansas City, St Louis, Oklahoma City, Albuquerque, Austin, San Antonio, Houston, Detroit, San Diego, Orlando, Las Vegas, Phoenix, Indianapolis, San Francisco, Atlanta, New York, Minneapolis, Santa Ana, Jacksonville, Windsor Locks, Chicago, Arlington, Los Angeles, Dayton, Akron, Omaha, Portland, Fresno, Milwaukee, Philadelphia, Salt Lake City, Tucson, Nashville, Seattle, Tulsa, Louisville, Memphis","A, B"
388,AQ,Aloha Airlines Inc.,"Honolulu, Kailua/Kona, Kahului, Hilo, Lihue, Oakland, San Diego, Santa Ana, Sacramento, Reno",A
238,HA,Hawaiian Airlines Inc.,"Los Angeles, Honolulu, Kahului, Lihue, Hilo, Kailua/Kona, San Francisco",A
